gene,mean_expression
MT-CO2,24.845654
MT-CO3,21.380234
EEF1A1,19.966671
MT-CO1,16.050455
RPL41,13.101888
MT-ND4,12.656775
COL3A1,12.258264
MT-ATP6,11.592898
RPL13,11.380008
RPLP1,11.005083
RPL10,10.478766
FTH1,9.874749
TMSB10,9.806741
PHGR1,8.779197
RPS8,8.680388
RPS12,8.588516
FTL,8.531626
CKB,7.991311
TPT1,7.856195
RPL13A,7.698518
RPS27,7.6907554
RPS2,7.457682
MT-ND3,7.443685
RPS18,7.4267077
ACTB,7.288762
ACTG1,7.258689
RPL37A,7.105043
RPS19,7.0342298
COL1A1,7.0003757
RPS28,6.9516225
RPL34,6.8948817
MT-CYB,6.8270984
RPL32,6.8157554
MT-ND1,6.7471704
RPL11,6.5434446
RPL28,6.4409304
RPS15A,6.436223
RPS23,6.289989
RPS15,6.2777195
RPS14,6.258764
COL1A2,6.174454
RPL37,6.1526194
TFF3,6.148087
MYL6,6.115034
RPS27A,6.1117787
RPS6,6.0036807
RPS24,5.972606
S100A6,5.8552685
RPL3,5.8133264
RPL18A,5.79392
RPL29,5.662435
RPL8,5.533053
RPS3A,5.507737
RPL9,5.4854016
RPL18,5.4671974
PIGR,5.4146633
RPL30,5.3941307
RPLP0,5.3521385
RPL19,5.278546
GAPDH,5.241361
RPL36,5.238081
RPL7A,5.226537
RPL12,5.202699
RPS11,5.1990685
RPLP2,5.080654
RPS4X,5.0371594
ZG16,4.9823966
RPS3,4.9645934
FABP1,4.9393277
MT1G,4.9115586
RPL35,4.7859325
TMSB4X,4.7484474
FXYD3,4.716221
RPL15,4.708058
RPS29,4.6874747
TAGLN,4.673728
RPL35A,4.658579
RPL5,4.6552734
SERF2,4.6204677
RPL39,4.605093
RPL21,4.6034155
RPL4,4.464293
RPL6,4.4184947
ACTG2,4.4177184
B2M,4.3193107
LGALS4,4.191356
RPS13,4.1245995
RPSA,4.061849
FAU,3.9991987
RPS26,3.9850512
RPS7,3.9540265
RPS9,3.951848
FCGBP,3.9336438
KRT8,3.8578975
RPS16,3.811874
HBG2,3.7763422
RPL26,3.7466698
RPL31,3.726237
VIM,3.714944
MT-ND2,3.6996443
RACK1,3.593675
RPL22,3.5697865
LGALS1,3.547401
RPS21,3.5454228
RPL7,3.5444713
RPL10A,3.4916365
MYL9,3.3815105
SPARC,3.372496
RPL24,3.3485327
RPS25,3.2928686
RPS5,3.2733374
PTMA,3.258789
RPL27A,3.1919572
MT1H,3.1362932
TTR,3.135116
KRT19,3.0553887
RPL23A,3.043745
ACTA2,2.979993
LGALS3,2.9472907
RPL14,2.9107072
RPS10,2.909405
FOS,2.796299
PPIA,2.78433
MALAT1,2.7525291
GNAS,2.6950622
FLNA,2.5965545
S100A10,2.543169
NACA,2.523087
CFL1,2.5009265
EEF2,2.4985728
RPL27,2.4803185
RPL23,2.4775891
UBA52,2.4688
ITM2C,2.439979
UBC,2.4276843
TPM2,2.4121845
MUC2,2.4088793
RPS20,2.3978364
SELENOP,2.3838892
ATP5F1E,2.3240185
TUBA1B,2.302434
MDK,2.283128
CST3,2.282527
UBB,2.2570612
APOA1,2.239408
RPL38,2.2376301
H3F3A,2.2127905
TUBB,2.171324
PFN1,2.1160107
HNRNPA1,2.0499048
CD63,2.0236378
MUC12,2.0181541
H3F3B,1.9832482
DCN,1.9832482
HLA-A,1.9801682
TUBA1A,1.9492939
COX4I1,1.9479166
SLC26A3,1.9251803
RPL36A,1.8994141
GUCA2A,1.8969852
TPM1,1.8690405
EPCAM,1.840069
HMGN2,1.8186349
DES,1.7748398
COX7C,1.7734375
HNRNPA2B1,1.7472956
CD81,1.7435898
EIF1,1.7419872
GSTP1,1.7361779
UQCRQ,1.7272385
ATP5ME,1.7014474
CLDN4,1.6889523
FN1,1.6885767
COL6A1,1.6864984
TSPAN1,1.6147836
HBA2,1.6133313
ELOB,1.5860376
HLA-B,1.5594702
ATP1A1,1.5230869
STMN1,1.5037811
IGHA1,1.4869541
FSTL1,1.4767878
COL5A1,1.4578326
COX5B,1.4554037
HINT1,1.4510467
SLC25A6,1.4494942
COX6A1,1.4479917
CTSD,1.4452374
MARCKS,1.4352964
CLDN3,1.4278846
DDX17,1.4239032
TMA7,1.4201221
ITM2B,1.4187701
PFDN5,1.4179938
EEF1B2,1.4177434
CIRBP,1.4129107
UQCR11,1.3857422
CALM2,1.3689404
KRT18,1.3653846
PABPC1,1.3614032
NEAT1,1.3603265
COL6A2,1.360051
P4HB,1.355043
EDF1,1.3525391
APOC3,1.3333083
PYY,1.333158
AGR2,1.3316306
MT2A,1.3285257
TPI1,1.3253706
MYH11,1.3220654
MZT2B,1.3213141
CALR,1.2972256
LTBP4,1.291842
COX6C,1.2824519
OAZ1,1.281926
ELF3,1.2717599
NDUFA4,1.2667267
DYNLL1,1.2651492
HSPB1,1.2606921
COX6B1,1.2463442
SELENOW,1.2432392
MUC13,1.2407852
CHCHD2,1.2292167
COX7A2,1.2221054
PSAP,1.2178235
EEF1D,1.2094351
CDHR5,1.1934845
MFAP4,1.1914814
CHGA,1.1911308
HLA-C,1.1828927
ATP5F1B,1.1809646
MAMDC4,1.1765325
TSPAN3,1.1738782
BSG,1.1576773
COX8A,1.1573017
TXNIP,1.1519932
ATP5MG,1.1417267
C15orf48,1.1386468
MYLK,1.1372947
YWHAZ,1.1334134
TSPAN8,1.1327124
CLDN7,1.1254257
ATP5MC2,1.1234475
BTF3,1.1211438
UBL5,1.1180639
MEG3,1.1121044
SRP14,1.1114783
MT1E,1.1040915
MYL12B,1.0976813
MEST,1.091196
TXN,1.0892678
ANPEP,1.0884165
EMILIN1,1.0851612
EIF4G2,1.0823568
SH3BGRL3,1.0813802
RHOC,1.0787259
MUC1,1.0715144
H1FX,1.0710386
POSTN,1.0678586
HNRNPK,1.0664313
SSR4,1.062525
FCGRT,1.0546374
SLC26A2,1.0517578
DDX5,1.0488782
UQCR10,1.0457232
IGFBP7,1.0416416
PHPT1,1.0410156
TUBB4B,1.0408154
AMN,1.0403646
COL5A2,1.0396634
UQCRB,1.0394131
PRDX5,1.0384115
CALM1,1.0294971
RPS17,1.0216095
IGKC,1.0188302
COL4A1,1.0178787
HSP90AB1,1.0141977
ENO1,1.0114182
PRDX6,1.0063602
HNRNPH1,0.99959934
CEACAM5,0.9992989
ATP5MD,0.99869794
C19orf33,0.9971454
NREP,0.99451625
ACADVL,0.99426585
COL6A3,0.9941907
CTSA,0.99010915
MAGED2,0.98988384
PCBP2,0.98935795
HSP90B1,0.9861528
COL4A2,0.9847005
ANXA2,0.9821214
OST4,0.98054385
IFITM3,0.97646236
FBLN1,0.9736829
TOMM7,0.9734575
RPL17,0.9650441
HMGB1,0.9582582
SLC25A3,0.957507
AHNAK,0.94526243
AES,0.941281
ZFP36L2,0.9269331
OLFM4,0.9255809
EGR1,0.9204477
NPM1,0.9202975
ATP5F1A,0.91796875
GSN,0.9170172
HNRNPDL,0.9110076
UQCRH,0.9073267
DSTN,0.90677583
CALD1,0.9040465
NDUFB2,0.9033954
BEX3,0.901893
S100A11,0.90066606
RPL36AL,0.89991486
SERPINH1,0.8985126
CYP2W1,0.88957334
SPINT2,0.88864684
JUN,0.88546675
MT-ND5,0.8778546
EIF3L,0.8748247
NOP53,0.8716446
HSP90AA1,0.871244
LDHA,0.8686899
FNDC1,0.8671124
IFI27,0.8661108
SNRPD2,0.8561949
GTF2I,0.8548427
FUS,0.85446715
CSRP1,0.8540915
LUM,0.8531901
EIF4A2,0.85303986
EZR,0.84908354
STARD10,0.84823215
ATP5MPL,0.8477063
CD99,0.8366887
SERPINA1,0.832482
CD24,0.83145535
NDUFA11,0.8276242
NDUFB7,0.82732373
SRRM2,0.8252454
HSPA8,0.82003707
MYH9,0.8192107
H2AFZ,0.81850964
NDUFS5,0.8180589
MGST3,0.8160557
PRSS8,0.8144281
YBX1,0.8133263
DGAT1,0.81222457
GSTA1,0.8060146
ARF1,0.80598956
CLIC1,0.8056891
LAMTOR4,0.8053135
ATP5PF,0.80453724
RHOA,0.80338544
C12orf57,0.80270934
GPX4,0.8005058
FAM3D,0.8004307
CLCA4,0.79942906
ATP5IF1,0.7991286
KDELR2,0.79589844
PTMS,0.7954978
TMEM141,0.79532254
IER2,0.79489684
TRIR,0.79407054
NDUFA13,0.7936198
NDRG1,0.7852564
HMGN1,0.7836288
ATF4,0.78290266
COMMD6,0.78097457
COX7B,0.77844554
PKDCC,0.7738131
MIF,0.77346253
ITGB1,0.77253604
HNRNPC,0.77138424
TMBIM6,0.7690805
ATP5MC3,0.76903045
LSM7,0.76760316
GUK1,0.7609175
NDUFA1,0.75878906
JUND,0.75783753
LAMB1,0.7555589
HNRNPA3,0.75548375
CYBA,0.7549329
ATP5F1D,0.75105166
ZFP36L1,0.75002503
SLC25A5,0.7495743
PKM,0.7462941
SKP1,0.7451422
CCNL2,0.74296373
APLP2,0.7420623
SEPT2,0.73945814
SELENBP1,0.7389323
XIST,0.7372546
SMIM22,0.73652846
COX5A,0.73585236
GRN,0.73334837
IGFBP5,0.7330479
TSC22D1,0.731871
TMEM258,0.7314954
HNRNPU,0.7298427
POLR2L,0.72814
PTTG1IP,0.7278896
IGFBP4,0.7276643
SPTBN1,0.71829927
DBI,0.71476865
RBM39,0.71401745
CEACAM7,0.712515
NDUFB1,0.70963544
RAC1,0.7082582
MARCKSL1,0.70735675
CTNNA1,0.7037009
CD151,0.7034505
COL16A1,0.7005208
CTSB,0.6992688
ACTN4,0.69839245
CNN1,0.6977664
CD164,0.6966647
MMP2,0.69483674
UQCRC1,0.6946114
NAP1L1,0.69383514
CD74,0.6926833
CEACAM1,0.69098055
ATP5MF,0.688777
PFKL,0.6864233
SSR2,0.6842949
ARL6IP4,0.6836438
ETHE1,0.6815405
ATP5PO,0.6797626
SAT1,0.6733774
NORAD,0.6697466
CLCA1,0.6688702
PRDX2,0.6679437
CANX,0.66714245
SRSF5,0.6659155
CD9,0.66586536
TMEM259,0.6654147
GNB2,0.664388
C11orf96,0.66358674
PPDPF,0.663136
EIF3K,0.6629858
SRI,0.66240984
RABAC1,0.6614333
LDHB,0.660006
NDUFB11,0.6581781
CAPNS1,0.6571765
VCAN,0.6571264
SRSF3,0.65216845
SUMO2,0.650015
CCND2,0.64948916
GNG5,0.64783657
LGALS2,0.64721054
DUSP1,0.6447316
HSPG2,0.6439804
SNRNP70,0.6432292
TAGLN2,0.641902
PCBP1,0.64160156
SFPQ,0.6383714
PTBP1,0.6365685
PLXNB2,0.636243
ID3,0.63604265
RTN4,0.63604265
NBL1,0.6351913
JUNB,0.6346404
VPS28,0.63333833
LMNA,0.63033354
SEC61G,0.6295072
CDC42EP5,0.6292568
EIF4A1,0.6283804
WSB1,0.62665266
MORF4L1,0.6255008
BLOC1S1,0.62484974
CHCHD10,0.62447417
RBP1,0.6233974
RARRES2,0.6227464
IGFBP2,0.6208934
RRBP1,0.6191907
TPM4,0.6190655
AP2M1,0.6184395
TFF1,0.617513
PLA2G2A,0.61716247
LAPTM4A,0.61538464
PPP2R1A,0.61513424
OGN,0.6113031
SRSF2,0.6105519
TIMP2,0.6086238
EIF4B,0.6044922
HBA1,0.603766
FOSB,0.60228866
SLC6A8,0.60221356
COPS9,0.60103667
ATP2A3,0.60091144
LRP1,0.5983574
ROMO1,0.5971304
ZFAS1,0.59688
HLA-E,0.59622896
ARGLU1,0.5957532
MUC5B,0.5953526
ATP6V0B,0.59490186
TMEM54,0.59422576
CDC42,0.59377503
PRELID1,0.59354967
LGALS3BP,0.5923227
MISP,0.5921224
YWHAQ,0.5909706
HDLBP,0.59034455
WDR83OS,0.58959335
RPS27L,0.58841646
CXCL12,0.5877654
ATP5MC1,0.5848608
TIMP1,0.5844852
HSBP1,0.5838341
MT1F,0.58345854
FABP5,0.5828826
CA4,0.5821815
PPP1CB,0.5817558
COL12A1,0.5811298
CTNNB1,0.57967746
SEC61B,0.5761969
NID1,0.57547075
SUB1,0.57396835
