,epithelial cell,T cell,plasma cell,B cell,mesenchymal cell,endothelial cell,myeloid cell
IGHA1,1.4282994,0.7622641,80.399956,1.4514096,0.49690795,0.45900193,1.7624135
VIM-AS1,0.09942994,9.950496,22.083817,4.914927,47.36014,48.435688,21.215023
MT-CO1,65.792175,15.627608,30.379972,16.275934,20.094942,17.350912,24.946896
IGHA2,0.651937,0.45323402,44.077484,0.9823164,0.36958492,0.32248378,0.9158112
IGLL5,0.22763292,0.11768728,32.527416,0.25132966,0.10053172,0.117141426,0.23926537
BEST1,22.801939,3.721717,1.915776,5.156058,11.989554,4.5355577,19.05112
HLA-DPA1,0.015780717,0.12416346,0.0817656,1.3622386,0.095158614,0.57468176,20.375143
ATG10,16.788483,19.34879,11.635028,31.959475,12.902548,14.55852,22.270552
CD74,0.19284338,0.963565,1.9952158,7.3883586,0.26270777,1.7365813,17.62796
JCHAIN,0.5437575,0.2563839,16.700434,0.38166836,0.22342215,0.21481618,0.77331364
MT-ND6,16.161268,1.8126487,3.8357675,2.2500336,2.4323351,2.726068,3.6729047
IGKV3-20,0.14203082,0.06607585,11.656449,0.18069986,0.18683004,0.08633476,0.17979747
KRT8,11.740735,0.07483506,0.45375624,0.036018405,0.29382306,0.48834813,0.0959596
MT-CYB,15.799085,3.6536725,8.345965,3.7209098,6.1743464,5.6265335,5.1685276
IGLC2,0.3557078,0.21953419,9.752014,0.44288754,0.14749332,0.1403537,0.5556295
MT-CO2,11.908709,2.6416678,8.528482,2.6839268,4.339316,3.5781577,4.187015
IGKV4-1,0.11884045,0.049429305,9.188828,0.15887845,0.055091813,0.040322583,0.16605233
BCAS4,5.118249,6.7205024,2.9021964,4.953242,4.7925787,4.1207476,12.718298
JSRP1,3.6005058,4.067111,4.323623,8.051743,5.4296546,3.7481503,11.987316
SH3D19,4.514267,8.222144,2.4668696,8.962764,2.0264878,1.9002824,3.151508
MT-ND4,10.3955145,2.7749665,6.468963,2.905915,4.353038,3.149804,3.3817923
MIF-AS1,12.419001,4.8266487,8.711634,5.807472,5.917703,5.6645036,6.152794
IGHG2,0.016085673,0.058377586,6.737197,0.1612954,0.19784799,0.23161034,0.20063487
MALAT1,8.420189,10.103447,14.597782,10.212379,7.471353,8.062335,7.924047
MT-ND5,9.306251,2.8139615,5.326833,3.3701622,3.5790374,4.1356354,3.6457713
CFD,0.043187276,0.012720205,0.027013993,0.018855657,5.2634234,0.06049628,0.06565657
CCDC152,1.8788679,0.021456808,0.030390741,0.01690507,1.1474413,0.55916876,5.349382
MMRN1,0.0016611296,0.007340485,0.0028948863,0.0052015604,0.008347245,5.019738,0.0
GPX3,0.010733238,0.002258611,0.007996222,0.0052015604,4.839984,0.07815243,0.025252525
MT-CO3,6.075619,1.4467154,4.378792,1.261477,2.377883,1.6949898,1.7532321
MT-ND1,6.2970934,1.366918,2.6041708,1.8971881,1.6650561,1.7485095,1.3891866
MT-ATP6,6.351308,1.6523405,3.8660128,1.7976894,2.7388384,1.9551791,1.7202005
THBS1,0.21721268,0.08139933,0.02252785,0.004551461,4.542792,0.26643953,1.6010097
MFSD1,1.3066509,0.0107284,0.027134594,0.016905071,4.501254,0.073924735,0.15151514
ZFP36,0.51176566,1.4724213,1.7361704,0.8068636,5.414653,1.3754017,1.1616474
YIF1B,4.351413,0.013363445,0.049205992,0.0065019503,0.10350584,0.1640915,0.04040404
ACTB,1.3342012,2.704476,0.9149398,2.5383608,2.2810018,1.4406989,5.5159826
PIGR,4.024967,0.03608133,0.6606099,0.0130039,0.03672788,0.018817203,0.03030303
PECAM1,0.003875968,0.09712017,0.21491271,0.03511054,0.0050083473,3.9311285,0.13131315
IGKC,0.45864472,0.43052614,4.118341,0.61359125,0.30781826,0.28539723,0.7600692
HPCA,3.6259508,0.0028232636,0.044862527,0.0039011703,0.073455766,0.15860209,0.0
IGKV1-39,0.037241537,0.032771308,3.558697,0.07388864,0.012918554,0.010218606,0.056188595
C3,0.007946651,0.0019573416,0.005800794,0.0039011703,3.4993677,0.018817203,0.005050505
GSN,0.115719885,0.030720389,0.04413894,0.028639786,3.5985374,0.29301062,0.19191922
PYCARD-AS1,2.5212274,0.33907402,0.34587565,0.5500657,0.4240396,0.393817,3.5304
MT-ND2,4.6705,0.8903227,1.6851041,0.93190736,1.4740932,1.4103365,1.4278071
CPB2-AS1,0.038031302,1.6624177,0.07672838,1.7311124,0.10399135,0.12104687,3.1977923
IGHG1,0.018670121,0.075469606,3.3297665,0.3406381,0.07243502,0.052826054,0.13105634
IGKV2D-28,0.033517692,0.030368285,3.2355738,0.058852375,0.059923984,0.06296931,0.11833271
IGKV3-15,0.046276465,0.048022214,3.1876976,0.08180842,0.033821806,0.040662233,0.11316549
EEF1A1,1.0110807,3.423128,2.1720877,4.1610837,1.5847243,1.2218119,1.6961901
IGHM,0.07388289,0.16725853,3.2104146,0.9732406,0.0833127,0.09097897,0.13248967
IGKV3-11,0.06778313,0.032272756,3.1183064,0.070202835,0.00812664,0.020634921,0.06120731
VIM,0.06879153,1.0214478,1.6104937,0.47150254,3.1909475,2.5060735,1.3264025
SMARCB1,0.048663836,0.036427185,2.932941,0.19601409,0.021741796,0.024193548,0.08080807
MT2A,0.13323544,0.029468713,0.033745248,0.01690507,2.9236908,1.0571378,0.18038562
EGR1,0.3360139,0.24132602,0.6230063,0.16259918,3.13041,0.36069953,0.13131313
IGKV2-28,0.03264099,0.03008596,2.8923836,0.058852375,0.049907293,0.06296931,0.11707008
IGKV1-5,0.062351365,0.035340305,2.815715,0.084609546,0.03578912,0.038342588,0.097655125
LDLRAD2,0.3157068,0.002258611,0.012301015,0.0039011703,0.6503798,2.8398879,0.005050505
AHNAK,0.6361937,0.34586373,1.3205392,0.32071352,2.7373822,2.6688662,0.8333331
TPT1,1.9498101,3.7878644,5.277776,3.4158733,3.1308239,3.8544235,3.1389828
ADH1B,0.02117112,0.0028232636,0.008509197,0.0,2.4829476,0.024564391,0.006734007
HSP90B1,0.27637893,0.29733604,2.8545485,0.44070834,0.51590616,0.45277753,0.52087766
CD248,0.0073366584,0.026538681,0.001447178,0.005851755,2.3711922,0.002688172,0.005050505
C1S,0.011666799,0.0050818743,0.0038433343,0.0026007802,2.350487,0.035649866,0.01010101
CST3,0.27199346,0.028006785,0.08938102,0.040312104,1.5657382,0.28718624,2.196287
SERPING1,0.013460797,0.0032900653,0.0129517885,0.006739646,2.3111002,0.29834226,0.015151516
DCN,0.04434184,0.009034442,0.014471782,0.01170351,2.2701752,0.05913979,0.01010101
IGLC3,0.11714101,0.13435747,2.252635,0.12513955,0.031794015,0.039761044,0.106123276
APOD,0.0023532668,0.0028232636,0.007959479,0.0043346332,2.127112,0.10223538,0.005292269
JUN,0.9410822,1.1953381,2.6467602,1.1148984,1.9492472,0.5937068,0.48825854
IGLV2-14,0.06322672,0.0449134,2.0883205,0.08923785,0.030739585,0.02688172,0.07087543
KCNQ1OT1,3.1149094,2.3497114,1.2043632,2.8646333,1.3705,1.698192,1.5142603
PCOLCE-AS1,0.001811304,0.0005646527,0.001447178,0.0013003901,1.9686863,0.002688172,0.0
IGLV1-40,0.060542095,0.021130312,1.9679316,0.0816543,0.0073666424,0.007168459,0.03577441
DCAF6,2.4658384,0.49646205,0.46221113,0.5160096,0.66646636,0.6654698,0.6919192
AEBP1,0.0058831684,0.0062111802,0.02387844,0.024707412,1.8802474,0.07258065,0.0
IGLV3-21,0.027546836,0.019888327,1.8762064,0.050975297,0.010016694,0.018817203,0.027777776
SNX22,1.4374077,0.65657717,2.4698782,0.54105973,0.8843099,0.49886253,1.1079661
TPM1-AS,1.8347365,0.05477135,0.047756884,0.024707416,1.0462625,0.52419317,0.06565657
SNX32,2.1446598,0.82252496,0.29875576,0.7835793,0.5508197,0.6559787,1.7902974
IGHV3-74,0.027025444,0.018343959,1.8196834,0.029771106,0.04331656,0.03828625,0.05478395
PSAP,0.09681482,0.1526353,0.48812088,0.23420028,1.5284417,0.43292612,1.6984023
MUC2,1.7914407,0.0432524,0.08104193,0.00910273,0.03672788,0.005376344,0.02020202
TYW1,1.1658977,0.6025727,0.5404178,0.5045876,1.7017434,2.1018696,0.46464664
EFEMP1,0.016196009,0.0028232636,0.003617945,0.0013003901,1.7777543,0.41263425,0.0
IGHV3-7,0.028888348,0.017848227,1.7663491,0.027547648,0.0007164719,0.0010762906,0.022334455
FBN1,0.013150598,0.0005646527,0.002170767,0.0013003901,1.755269,0.05376344,0.005050505
HSPA1B,0.43820962,1.2803102,1.6680832,1.654216,0.25448802,0.12019923,0.6508768
C1R,0.013672008,0.007171089,0.012373429,0.0047053923,1.694318,0.036318023,0.01010101
LRRC75A,2.0203085,0.56773853,0.16607955,0.6333348,0.3573905,0.3440858,0.38131332
CYP21A2,0.0017303433,0.0011293055,0.000723589,0.0,1.6583555,0.23387086,0.0
FN1,0.035487857,0.0011293055,0.003617945,0.0065019503,1.664941,0.41962996,0.02020202
TARID,0.0017987645,0.0016939582,0.001447178,0.0,1.6200558,0.010752688,0.0
MRNIP,1.8427457,0.096633226,0.37956,0.11581367,0.95094293,0.762323,0.5999153
EME2,2.8458476,1.1113527,1.2588476,1.3642642,1.1556226,1.4435203,1.6079947
MTREX,0.27672747,0.070016935,0.028943567,0.027401265,0.3522637,1.664006,0.02020202
LINC02067,2.3078136,0.5466709,0.9080181,0.80205345,0.79057604,0.6980106,0.89318824
SELENOP,0.43586507,0.031808782,0.027496388,0.046814054,1.3244833,0.41941345,1.3181818
WWTR1-AS1,0.008998898,0.020892153,0.003617945,0.0065019503,0.19532567,1.5554633,0.0
EEF2,1.387177,2.1708415,2.0676339,2.8549926,2.8667367,1.7059418,1.7575756
APP,0.1627161,0.028817166,0.057538956,0.045513667,1.0751247,1.3120368,0.050505053
FKBP15,0.15116996,0.05081878,0.14549915,0.042045955,0.27462447,0.10756139,1.5782552
IGHV3-30,0.013136875,0.0056520766,1.4746255,0.020761443,0.004069282,0.008172043,0.03598485
ZFP36L1,0.15362108,0.6010967,0.2398694,0.77493167,1.7642037,0.41935465,0.5050506
IGHV4-39,0.02935961,0.017115518,1.4364293,0.031360332,0.007095158,0.0067204298,0.02331002
RPL13,0.56535697,1.6933941,0.9345586,2.015899,1.0877681,0.76383746,0.8162871
IGLV3-25,0.029588636,0.01232825,1.4206874,0.031686176,0.0041736225,0.005376344,0.0462963
NEAT1,1.4115412,0.30552807,1.6925327,0.26749033,0.9130271,1.0128777,0.87181854
LYZ,0.13384864,0.0047995485,0.012713333,0.00910273,0.01507406,0.0,1.4102325
IGKV3D-20,0.03238369,0.027565911,1.4193463,0.02868613,0.038138837,0.029095782,0.045454543
IGLC1,0.07153652,0.060300503,1.4437944,0.081015155,0.044093028,0.037186377,0.11996984
ADAMTS1,0.0037375404,0.0039525693,0.003617945,0.0026007802,1.0975893,1.0185782,0.015151516
