,epithelial cell,T cell,plasma cell,B cell,mesenchymal cell,endothelial cell,myeloid cell
ENSG00000000003	ENSG00000000003,0.025611525,0.0011293055,0.0072405944,0.0013003901,0.01502504,0.02956989,0.0
ENSG00000000005	ENSG00000000005,0.00013842747,0.0,0.0,0.0,0.0050083473,0.0,0.0
ENSG00000000419	ENSG00000000419,0.03975581,0.043195955,0.026672978,0.03903357,0.04507512,0.05376345,0.035353534
ENSG00000000457	ENSG00000000457,0.02808456,0.02897644,0.02204823,0.020806242,0.023341952,0.01344086,0.005257037
ENSG00000000460	ENSG00000000460,0.04860095,0.012987009,0.0115774255,0.0143042905,0.019198664,0.010752688,0.015151516
ENSG00000000938	ENSG00000000938,0.00041528238,0.007914192,0.003617945,0.00780234,0.0,0.008602151,0.096354194
ENSG00000000971	ENSG00000000971,0.006214283,0.0011857707,0.0004341534,0.00065019506,0.25410056,0.08707496,0.0
ENSG00000001036	ENSG00000001036,0.023755686,0.013551662,0.026049208,0.00780234,0.044240396,0.018817203,0.03030303
ENSG00000001084	ENSG00000001084,0.009141957,0.004679825,0.009406658,0.00780234,0.0,0.01344086,0.015151516
ENSG00000001167	ENSG00000001167,0.008147992,0.019762846,0.004341534,0.023407023,0.010016694,0.002688172,0.015151516
ENSG00000001460	ENSG00000001460,0.036939822,0.062224783,0.020260496,0.052795853,0.01836394,0.005376344,0.020209463
ENSG00000001461	ENSG00000001461,0.012480291,0.04082442,0.01591896,0.018725617,0.0116861425,0.024193546,0.035353534
ENSG00000001497	ENSG00000001497,0.015503861,0.048183724,0.047358274,0.06501952,0.048414014,0.043010753,0.060606062
ENSG00000001561	ENSG00000001561,0.007059802,0.011857704,0.002894356,0.0052015604,0.013355591,0.029569888,0.015151516
ENSG00000001617	ENSG00000001617,0.0015227022,0.0,0.0,0.0,0.0,0.024193546,0.0
ENSG00000001626	ENSG00000001626,0.04096917,0.0016794238,0.012301015,0.0,0.0,0.002688172,0.005050505
ENSG00000001629	ENSG00000001629,0.020210413,0.018351214,0.020984085,0.0156046795,0.024207013,0.024193546,0.045454547
ENSG00000001630	ENSG00000001630,0.05973711,0.007859213,0.020099247,0.005855809,0.023147484,0.01552465,0.016185377
ENSG00000001631	ENSG00000001631,0.03709426,0.048483346,0.039101183,0.04692146,0.051961876,0.016335912,0.034879416
ENSG00000002016	ENSG00000002016,0.031198783,0.012987009,0.010130247,0.0130039,0.008347245,0.045698922,0.01010101
ENSG00000002079	ENSG00000002079,0.00069213734,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000002330	ENSG00000002330,0.013857041,0.0042348956,0.009768452,0.0026007802,0.0116861425,0.010752688,0.01010101
ENSG00000002549	ENSG00000002549,0.009759133,0.009034442,0.01591896,0.020806242,0.033388983,0.03763441,0.03030303
