Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,negative regulation of immune system process (GO:0002683),0.9991981008328005,1.2950212130472272,0.0,1.0,0.9485,1/19,0.01%,COL3A1
prerank,heme catabolic process (GO:0042167),0.9889036837823049,1.2887631292646944,0.0385,1.0,1.0,2/16,0.69%,FABP1;GSTA1
prerank,porphyrin-containing compound catabolic process (GO:0006787),0.9889036837823049,1.2887631292646944,0.0385,1.0,1.0,2/16,0.69%,FABP1;GSTA1
prerank,protein localization to cell-cell junction (GO:0150105),0.9881974767256632,1.286494955442292,0.0285,1.0,1.0,2/15,0.10%,ACTG1;ACTB
prerank,epithelial structure maintenance (GO:0010669),0.9892364172802046,1.2861635617724971,0.0335,1.0,1.0,4/17,0.66%,TFF3;MUC2;MUC13;TFF1
prerank,error-prone translesion synthesis (GO:0042276),0.984807255848398,1.2855316446989087,0.037,1.0,1.0,4/21,0.57%,RPS27A;UBC;UBA52;UBB
prerank,negative regulation of nervous system development (GO:0051961),0.9901449517747715,1.2852705683139973,0.028,1.0,1.0,1/18,0.07%,B2M
prerank,negative regulation of fibroblast proliferation (GO:0048147),0.9899772635751494,1.284391812946453,0.0355,1.0,1.0,2/18,0.68%,FTH1;GSTP1
prerank,maintenance of gastrointestinal epithelium (GO:0030277),0.9885020114958987,1.2842885682955243,0.0375,1.0,1.0,4/17,0.66%,TFF3;MUC2;MUC13;TFF1
prerank,negative regulation of transcription regulatory region DNA binding (GO:2000678),0.9880417415990237,1.2830227129007294,0.0345,1.0,1.0,1/16,0.18%,TMSB4X
prerank,regulation of lymphocyte proliferation (GO:0050670),0.9917202369195256,1.2823765578320112,0.023,1.0,1.0,1/19,0.21%,LGALS3
prerank,ribosomal large subunit assembly (GO:0000027),0.9904364406153838,1.2805367190316728,0.0275,1.0,1.0,8/25,0.43%,RPL10;RPL11;RPL3;RPL5;RPLP0;RPL6;RPL24;RPL23A
prerank,epithelial cell development (GO:0002064),0.985891925628003,1.279509725055739,0.035,1.0,1.0,2/21,0.48%,ACTA2;CLDN3
prerank,ribosomal small subunit assembly (GO:0000028),0.9911182203177966,1.2790838914150418,0.0325,1.0,1.0,7/16,0.41%,RPS27;RPS19;RPS28;RPS15;RPS14;RPSA;RPS5
prerank,"mitochondrial electron transport, cytochrome c to oxygen (GO:0006123)",0.9780041643848416,1.2772223410772383,0.0455,1.0,1.0,11/17,1.48%,COX4I1;COX7C;COX6A1;COX5B;COX6C;NDUFA4;COX6B1;COX8A;COX5A;COX7B;CYCS
prerank,negative regulation of ubiquitin-protein transferase activity (GO:0051444),0.9860731376465955,1.2762113562378727,0.0445,1.0,1.0,4/15,0.50%,RPL11;RPL5;RPS7;RPL23
prerank,"maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000462)",0.9933168163815408,1.2761171787563013,0.019,1.0,1.0,5/29,0.42%,RPS8;RPS19;RPS14;RPS16;RPS21
prerank,cellular response to epidermal growth factor stimulus (GO:0071364),0.9897655680666786,1.2760975842989157,0.027,1.0,1.0,1/27,0.01%,EEF1A1
prerank,error-free translesion synthesis (GO:0070987),0.9778275859152568,1.2755816358986685,0.045,1.0,1.0,4/22,0.57%,RPS27A;UBC;UBA52;UBB
prerank,positive regulation of T cell cytokine production (GO:0002726),0.989852867764314,1.2748764442141962,0.0295,1.0,1.0,3/21,0.62%,B2M;HLA-A;CD81
prerank,"nucleotide-excision repair, DNA gap filling (GO:0006297)",0.9803895366993784,1.2732652709527137,0.0495,1.0,1.0,4/24,0.57%,RPS27A;UBC;UBA52;UBB
prerank,intermediate filament organization (GO:0045109),0.9815083849900456,1.2729314550639421,0.052,1.0,1.0,3/18,0.61%,VIM;DES;KRT20
prerank,regulation of T cell cytokine production (GO:0002724),0.9897751835638406,1.272712311864062,0.036,1.0,1.0,2/19,0.37%,B2M;HLA-A
prerank,negative regulation of immune effector process (GO:0002698),0.9841467795406633,1.2721856002835061,0.046,1.0,1.0,2/16,0.21%,RPS19;LGALS3
prerank,negative regulation of actin filament polymerization (GO:0030837),0.985142448685987,1.2720809422844839,0.0445,1.0,1.0,4/24,0.61%,TMSB10;TMSB4X;PFN1;GSN
prerank,eosinophil migration (GO:0072677),0.9834379174726489,1.2716470251276266,0.0475,1.0,1.0,2/15,0.98%,LGALS3;CCL21
prerank,eosinophil chemotaxis (GO:0048245),0.9834379174726489,1.2716470251276266,0.0475,1.0,1.0,2/15,0.98%,LGALS3;CCL21
prerank,endoplasmic reticulum mannose trimming (GO:1904380),0.9794865977548459,1.271094447579235,0.055,1.0,1.0,4/18,0.57%,RPS27A;UBC;UBA52;UBB
